id,datetime,latitude,longitude,magnitude,location,location-broad
10311,15/07/2022 10:14,19.16616631,-155.4733276,7,Hawaii,North America
10312,15/07/2022 10:15,19.17316628,-155.4633331,8,Hawaii,North America
10313,15/07/2022 10:24,33.0245,-116.2901667,6,California,North America
10314,15/07/2022 10:50,-18.492,-175.0092,42,Tonga,Oceania
10315,15/07/2022 11:18,51.6684,-176.3827,30,Alaska,North America
10316,15/07/2022 11:29,38.5811667,-119.4448333,8,California,North America
10317,15/07/2022 12:19,38.7085,-116.0844,8,Nevada,North America
10318,15/07/2022 12:32,60.7559,-138.1963,11,Canada,North America
10319,15/07/2022 12:51,18.852,-64.46416667,20,U.S. Virgin Islands,Central America
10320,15/07/2022 13:02,38.1875,-118.1698,11,Nevada,North America
10321,15/07/2022 13:23,31.67481786,-104.4234363,18,New Mexico,North America
10322,15/07/2022 13:30,38.699,-116.084,10,Nevada,North America
10323,15/07/2022 13:46,-15.1075,-173.5241,34,Tonga,Oceania
10324,15/07/2022 13:56,18.22733333,-67.4085,19,Puerto Rico,Central America
10325,15/07/2022 14:19,31.68599928,-104.4351155,8,New Mexico,North America
10326,15/07/2022 14:24,44.2691,-114.8634,9,Idaho,North America
10327,15/07/2022 14:25,19.23933411,-155.3851624,8,Hawaii,North America
10328,15/07/2022 15:34,17.9705,-66.92033333,8,Puerto Rico,Central America
10329,15/07/2022 16:25,31.69492547,-104.2933186,13,New Mexico,North America
10330,15/07/2022 16:38,0.0505,123.2042,40,Indonesia,Asia
10331,15/07/2022 16:46,25.7023,125.3128,40,Japan,Asia
10332,15/07/2022 17:21,19.17683411,-155.4815063,6,Hawaii,North America
10333,15/07/2022 17:47,19.16633415,-155.4681702,7,Hawaii,North America
10334,15/07/2022 18:00,19.18916702,-155.505661,5,Hawaii,North America
10335,15/07/2022 18:42,57.3486,-154.6531,32,Alaska,North America
10336,15/07/2022 19:37,-44.5986,-79.7623,103,Chile,South America
10337,15/07/2022 19:40,38.5775,-119.4548333,15,California,North America
10338,15/07/2022 19:47,18.04,-66.82683333,11,Puerto Rico,Central America
10339,15/07/2022 21:10,-45.1523,-80.9235,34,Chile,South America
10340,15/07/2022 21:27,-23.025,-176.9976,58,Tonga,Oceania
10341,15/07/2022 21:29,-41.7596,174.3265,38,New Zealand,Oceania
10342,15/07/2022 21:39,33.2296667,-116.1023333,8,California,North America
10343,15/07/2022 22:15,59.1211,-151.8293,7,Alaska,North America
10344,15/07/2022 22:22,29.0786,69.5217,45,Pakistan,Middle East
10345,15/07/2022 22:25,40.4604,141.8914,40,Japan,Asia
10346,15/07/2022 22:33,56.4458,-148.8498,40,Alaska,North America
10347,15/07/2022 22:34,38.6979,-116.1182,8,Nevada,North America
10348,15/07/2022 22:34,44.2896667,-114.8311667,7,Idaho,North America
10349,15/07/2022 22:47,56.465,-148.8015,14,Alaska,North America
10350,15/07/2022 22:47,58.456,-147.5467,9,Alaska,North America
10351,15/07/2022 23:01,43.9652,147.8344,42,Russia,Europe
10352,15/07/2022 23:05,-44.5542,-80.0876,36,Chile,South America
10353,15/07/2022 23:15,17.99983333,-66.97133333,7,Puerto Rico,Central America
10354,15/07/2022 23:27,19.12516594,-155.4253387,6,Hawaii,North America
10355,15/07/2022 23:36,54.52183333,-163.5183333,6,Alaska,North America
10356,16/07/2022 00:13,29.6086,141.1318,45,Japan,Asia
10357,16/07/2022 00:33,31.60248306,-104.0053498,6,Texas,North America
10358,16/07/2022 00:40,62.6582,-151.1376,32,Alaska,North America
10359,16/07/2022 00:48,18.04216667,-66.8245,6,Puerto Rico,Central America
10360,16/07/2022 00:53,19.4535,-155.606,5,Hawaii,North America
10361,16/07/2022 01:08,-5.9407,128.4044,42,Indonesia,Asia
10362,16/07/2022 01:28,60.581,-142.7672,32,Alaska,North America
10363,16/07/2022 01:28,17.9075,-66.881,8,Puerto Rico,Central America
10364,16/07/2022 01:32,17.9545,-66.946,19,Puerto Rico,Central America
10365,16/07/2022 01:58,36.185,140.8905,42,Japan,Asia
10366,16/07/2022 01:59,41.0716,77.9707,38,Kyrgyzstan,Middle East
10367,16/07/2022 02:43,-0.9868,126.8799,42,Indonesia,Asia
10368,16/07/2022 02:55,-22.9545,-68.8301,34,Chile,South America
10369,16/07/2022 03:00,31.61196548,-103.9873735,8,Texas,North America
10370,16/07/2022 03:16,61.7004,-152.0722,32,Alaska,North America
10371,16/07/2022 03:23,17.97733333,-66.83416667,7,Puerto Rico,Central America
10372,16/07/2022 03:25,-17.6344,-172.8497,64,Tonga,Oceania
10373,16/07/2022 03:26,38.7861667,-122.735,9,California,North America
10374,16/07/2022 03:32,18.9923,-65.2131,26,Puerto Rico,Central America
10375,16/07/2022 03:33,44.2693333,-115.1961667,7,Idaho,North America
10376,16/07/2022 03:40,61.5911,-151.6212,8,Alaska,North America
10377,16/07/2022 03:54,16.5496,-94.1344,34,Mexico,North America
10378,16/07/2022 03:55,36.4468,-0.1616,40,Algeria,Africa
10379,16/07/2022 04:03,51.8372,-175.8813,7,Alaska,North America
